FeatureSet,Model,F1,Precision,Recall,AUC,FPR,Train_s
V1 (5 features),Logistic Regression,0.5423,0.9776,0.3752,0.8079,0.0005,0.025
V1 (5 features),Random Forest,0.5471,0.8453,0.4045,0.7983,0.0044,1.009
V1 (5 features),XGBoost,0.3974,0.3018,0.5818,0.7876,0.0801,0.21
V1 (5 features),Neural Network,0.5405,0.9775,0.3735,0.787,0.0005,1.109
V2 (16 features),Logistic Regression,0.656,0.9828,0.4923,0.8474,0.0005,0.044
V2 (16 features),Random Forest,0.6401,0.8975,0.4974,0.8273,0.0034,1.455
V2 (16 features),XGBoost,0.4667,0.3617,0.6575,0.8405,0.069,0.291
V2 (16 features),Neural Network,0.6559,0.9965,0.4888,0.8455,0.0001,1.406
V4 (22 features),Logistic Regression,0.7316,0.9854,0.5818,0.8627,0.0005,0.046
V4 (22 features),Random Forest,0.7196,0.9341,0.5852,0.8387,0.0025,1.358
V4 (22 features),XGBoost,0.5266,0.4325,0.673,0.8513,0.0525,0.33
V4 (22 features),Neural Network,0.7302,0.9854,0.58,0.8511,0.0005,1.209
