,precision,recall,f1-score,support
Benign,0.9725969645868465,0.96125,0.9668901927912825,9600.0
Classic_CRT,0.14189189189189189,0.13815789473684212,0.14,152.0
Classic_Hook,0.16265060240963855,0.1875,0.17419354838709677,144.0
Mixed,0.75,0.7241379310344828,0.7368421052631579,29.0
Reflective,0.25301204819277107,0.2441860465116279,0.2485207100591716,172.0
Sideloading,0.09392265193370165,0.2125,0.13026819923371646,80.0
accuracy,0.9193278962366119,0.9193278962366119,0.9193278962366119,0.9193278962366119
macro avg,0.395679026502475,0.4112886453804921,0.3994524592890709,10177.0
weighted avg,0.9290264320322429,0.9193278962366119,0.9239505906343286,10177.0
