Feature,SHAP_V4,RF_Gini
Is_Tainted_Past,0.31935640210494104,0.4096422477380433
Access_Rights_Count,0.07924060330005184,0.08246470513141835
Has_VM_Read,0.0752924609574463,0.07579917654096731
PF_Normal,0.06585589258561433,0.043757049671134314
ImageLoadCount,0.057660565596817856,0.02871682154057094
Has_FullAccess,0.055326808890758736,0.09073122974347894
ThreadToPFRatio,0.05444108844233389,0.03465365596655707
PageFaultCount,0.04947201625840785,0.04405630916462715
PF_CopyOnWrite,0.0428745077689996,0.028500165713073265
PF_Suspicious,0.040599923776043045,0.015482818672347274
Image_Unsigned,0.040201925174087494,0.025010473309991496
ThreadCount,0.039802062736639436,0.020550871413904298
Thread_External,0.015708181351100376,0.0019101935833932136
Has_UnknownCallTrace,0.013954916496810202,0.030965627303472996
Image_SuspiciousPath,0.010926145975783827,0.004786018536927283
Has_VM_Write,0.008370230808389579,0.013319748058828884
Has_InjectionPattern,0.007934807855079747,0.013085041812905478
Has_InjPattern_Right,0.007593576873539499,0.014063845283239531
Has_VM_Operation,0.006046646253340331,0.00957930488561925
PF_LargeRegion,0.004729320694723601,0.0023063820995050297
Has_CreateThread_Right,0.002401992813197213,0.005489349880196929
Has_CreateThread,0.0022099143011296294,0.0051289639497977884
