Feature,RF_Importance,SHAP_Importance
Is_Tainted_Past,0.37475431484780686,0.03953625849734179
Has_FullAccess,0.0844340893307542,0.004930524077807747
PageFaultCount,0.06497938641527594,0.04506404383527312
PF_Normal,0.06467859448375995,0.03953625849734183
ImageLoadCount,0.06115685886599992,0.04214877226991974
ThreadCount,0.05615714514087723,0.045064043835272974
Image_Unsigned,0.054010903360075815,0.03515467831783228
PF_Suspicious,0.047922432773392164,0.042376493361324145
ThreadToPFRatio,0.047571141684915205,0.04214877226991947
Has_InjectionPattern,0.04137307609443404,0.048169086310215034
PF_CopyOnWrite,0.04081429170555971,0.24262014333028736
Thread_External,0.018287779257800466,0.24262014333028553
Has_UnknownCallTrace,0.017695825286110595,0.004930524077807718
Has_CreateThread,0.009974762021696228,0.04816908631021495
Image_SuspiciousPath,0.008885601141247855,0.03515467831783246
PF_LargeRegion,0.007303797590293788,0.04237649336132379
